PL,NAME,YEAR,TEAM,Avg. Mile,t_min,t_sec,TIME,SCORE,race,minutes,distance
1,Ceili McCabe,SR-4,West Virginia,05:06.5,19,02.6,19:02.6,1,2024_Big_12_Conference_Cross_Country_Championship,19.043333333333333,6
2,Juliet Cherubet,SO-2,Texas Tech,05:10.3,19,16.9,19:16.9,2,2024_Big_12_Conference_Cross_Country_Championship,19.281666666666666,6
3,Joy Naukot,FR-1,West Virginia,05:10.6,19,18.1,19:18.1,3,2024_Big_12_Conference_Cross_Country_Championship,19.301666666666666,6
4,Judy Chepkoech,FR-1,Arizona State,05:14.5,19,32.6,19:32.6,4,2024_Big_12_Conference_Cross_Country_Championship,19.543333333333333,6
5,Lexy Halladay-Lowry,SR-4,BYU,05:19.3,19,50.5,19:50.5,5,2024_Big_12_Conference_Cross_Country_Championship,19.841666666666665,6
6,Riley Chamberlain,JR-3,BYU,05:20.3,19,54.3,19:54.3,6,2024_Big_12_Conference_Cross_Country_Championship,19.905,6
7,Taylor Rohatinsky,SO-2,BYU,05:20.6,19,55.3,19:55.3,7,2024_Big_12_Conference_Cross_Country_Championship,19.921666666666667,6
8,Erin Vringer,SO-2,Utah,05:20.9,19,56.5,19:56.5,8,2024_Big_12_Conference_Cross_Country_Championship,19.941666666666666,6
9,Maelle Porcher,JR-3,Iowa State,05:21.4,19,58.2,19:58.2,9,2024_Big_12_Conference_Cross_Country_Championship,19.97,6
10,Carmen Alder,JR-3,BYU,05:21.5,19,58.8,19:58.8,10,2024_Big_12_Conference_Cross_Country_Championship,19.98,6
11,Mckaylie Caesar,SR-4,Utah,05:21.6,19,59.0,19:59.0,11,2024_Big_12_Conference_Cross_Country_Championship,19.983333333333334,6
12,Sarah Tait,SR-4,West Virginia,05:21.7,19,59.3,19:59.3,12,2024_Big_12_Conference_Cross_Country_Championship,19.988333333333333,6
13,Destiny Everett,SR-4,BYU,05:21.7,19,59.6,19:59.6,13,2024_Big_12_Conference_Cross_Country_Championship,19.993333333333332,6
14,Josphine Mwaura,SO-2,Oklahoma State,05:22.4,20,02.0,20:02.0,14,2024_Big_12_Conference_Cross_Country_Championship,20.033333333333335,6
15,Sivan Auerbach,SR-4,Oklahoma State,05:22.7,20,03.3,20:03.3,15,2024_Big_12_Conference_Cross_Country_Championship,20.055,6
16,Victoria Lagat,FR-1,Oklahoma State,05:23.0,20,04.2,20:04.2,16,2024_Big_12_Conference_Cross_Country_Championship,20.07,6
17,Abbey Nechanicky,FR-1,Colorado,05:23.5,20,06.2,20:06.2,17,2024_Big_12_Conference_Cross_Country_Championship,20.10333333333333,6
18,Annastasia Peters,SO-2,Utah,05:23.7,20,07.1,20:07.1,18,2024_Big_12_Conference_Cross_Country_Championship,20.118333333333332,6
19,Carlee Hansen,SR-4,BYU,05:24.1,20,08.4,20:08.4,19,2024_Big_12_Conference_Cross_Country_Championship,20.14,6
20,Madison Trippett,SR-4,West Virginia,05:24.1,20,08.6,20:08.6,20,2024_Big_12_Conference_Cross_Country_Championship,20.143333333333334,6
21,Anastasia Chepkorir,SO-2,Texas Tech,05:25.3,20,12.7,20:12.7,21,2024_Big_12_Conference_Cross_Country_Championship,20.211666666666666,6
22,Katarzyna Nowakowska,SO-2,Utah,05:25.8,20,14.9,20:14.9,22,2024_Big_12_Conference_Cross_Country_Championship,20.248333333333335,6
23,Anastaysia Davis,SR-4,BYU,05:26.6,20,17.9,20:17.9,23,2024_Big_12_Conference_Cross_Country_Championship,20.298333333333332,6
24,Taylor Lovell,JR-3,BYU,05:26.8,20,18.6,20:18.6,NA,2024_Big_12_Conference_Cross_Country_Championship,20.31,6
25,Emily Bryce,JR-3,West Virginia,05:27.4,20,20.6,20:20.6,24,2024_Big_12_Conference_Cross_Country_Championship,20.343333333333334,6
26,Ruth Kimeli,FR-1,Baylor,05:28.4,20,24.6,20:24.6,25,2024_Big_12_Conference_Cross_Country_Championship,20.41,6
27,Colleen Stegmann,SO-2,Oklahoma State,05:28.7,20,25.7,20:25.7,26,2024_Big_12_Conference_Cross_Country_Championship,20.428333333333335,6
28,Nelah Roberts,FR-1,BYU,05:29.3,20,27.9,20:27.9,NA,2024_Big_12_Conference_Cross_Country_Championship,20.465,6
29,Morgan Jensen,SR-4,Utah,05:29.8,20,29.8,20:29.8,27,2024_Big_12_Conference_Cross_Country_Championship,20.496666666666666,6
30,Claire Curtsinger,JR-3,Cincinnati,05:30.5,20,32.3,20:32.3,28,2024_Big_12_Conference_Cross_Country_Championship,20.538333333333334,6
31,Jessie Secor,SO-2,Colorado,05:31.1,20,34.5,20:34.5,29,2024_Big_12_Conference_Cross_Country_Championship,20.575,6
32,Katja Bauerle,SR-4,Colorado,05:31.7,20,36.6,20:36.6,30,2024_Big_12_Conference_Cross_Country_Championship,20.61,6
33,Sheilah Bii,FR-1,Texas Tech,05:32.0,20,37.8,20:37.8,31,2024_Big_12_Conference_Cross_Country_Championship,20.63,6
34,Jinane Mahi,SO-2,Oklahoma State,05:32.0,20,38.0,20:38.0,32,2024_Big_12_Conference_Cross_Country_Championship,20.633333333333333,6
35,Dorcas Kiptanui,FR-1,Kansas,05:32.1,20,38.2,20:38.2,33,2024_Big_12_Conference_Cross_Country_Championship,20.636666666666667,6
36,Jenna Hutchins,SO-2,BYU,05:32.3,20,39.2,20:39.2,NA,2024_Big_12_Conference_Cross_Country_Championship,20.653333333333332,6
37,Evaline Chepkoech,FR-1,Arizona State,05:33.4,20,43.1,20:43.1,34,2024_Big_12_Conference_Cross_Country_Championship,20.718333333333334,6
38,Cameron McConnell,SO-2,Oklahoma State,05:35.0,20,49.1,20:49.1,35,2024_Big_12_Conference_Cross_Country_Championship,20.818333333333335,6
39,Kenadi Krueger,SR-4,Kansas,05:35.3,20,50.3,20:50.3,36,2024_Big_12_Conference_Cross_Country_Championship,20.838333333333335,6
40,Bella Heikes,SR-4,Iowa State,05:35.6,20,51.2,20:51.2,37,2024_Big_12_Conference_Cross_Country_Championship,20.85333333333333,6
41,Riley Beach,JR-3,Iowa State,05:35.7,20,51.7,20:51.7,38,2024_Big_12_Conference_Cross_Country_Championship,20.861666666666668,6
42,Lauren Ping,FR-1,Oklahoma State,05:36.3,20,53.8,20:53.8,39,2024_Big_12_Conference_Cross_Country_Championship,20.89666666666667,6
43,Lilly Lavier,JR-3,Oklahoma State,05:36.9,20,56.3,20:56.3,NA,2024_Big_12_Conference_Cross_Country_Championship,20.938333333333333,6
44,Madi Surber,SO-2,Oklahoma State,05:38.1,21,00.7,21:00.7,NA,2024_Big_12_Conference_Cross_Country_Championship,21.011666666666667,6
45,Marika Couture,FR-1,Utah,05:38.3,21,01.5,21:01.5,40,2024_Big_12_Conference_Cross_Country_Championship,21.025,6
46,Natalie Cook,SO-2,Colorado,05:39.0,21,04.2,21:04.2,41,2024_Big_12_Conference_Cross_Country_Championship,21.07,6
47,Ruby Hughes,FR-1,Iowa State,05:39.7,21,06.5,21:06.5,42,2024_Big_12_Conference_Cross_Country_Championship,21.108333333333334,6
48,Lily Mather,JR-3,Texas Tech,05:40.2,21,08.4,21:08.4,43,2024_Big_12_Conference_Cross_Country_Championship,21.14,6
49,Tabitha Ngao,SO-2,TCU,05:40.4,21,09.1,21:09.1,44,2024_Big_12_Conference_Cross_Country_Championship,21.151666666666667,6
50,Sheridan Wheeler,SO-2,Iowa State,05:40.6,21,10.0,21:10.0,45,2024_Big_12_Conference_Cross_Country_Championship,21.166666666666668,6
51,Christine Jerono,FR-1,Kansas State,05:40.8,21,10.7,21:10.7,46,2024_Big_12_Conference_Cross_Country_Championship,21.178333333333335,6
52,Taylor Briggs,SR-4,Iowa State,05:40.9,21,10.9,21:10.9,47,2024_Big_12_Conference_Cross_Country_Championship,21.18166666666667,6
53,Caroline Mehlhorn,FR-1,Colorado,05:41.3,21,12.6,21:12.6,48,2024_Big_12_Conference_Cross_Country_Championship,21.21,6
54,Lindsey Peters,JR-3,Utah,05:41.6,21,13.8,21:13.8,49,2024_Big_12_Conference_Cross_Country_Championship,21.23,6
55,Grace Ping,SO-2,Oklahoma State,05:41.7,21,14.2,21:14.2,NA,2024_Big_12_Conference_Cross_Country_Championship,21.236666666666668,6
56,Emily Chaston,SR-4,Utah,05:41.7,21,14.2,21:14.2,NA,2024_Big_12_Conference_Cross_Country_Championship,21.236666666666668,6
57,Emmaculate Jemutai,FR-1,Kansas,05:43.6,21,21.3,21:21.3,50,2024_Big_12_Conference_Cross_Country_Championship,21.355,6
58,Grace Meyer,JR-3,Kansas State,05:43.8,21,21.7,21:21.7,51,2024_Big_12_Conference_Cross_Country_Championship,21.361666666666668,6
59,Tecla Lokrale,SO-2,West Virginia,05:43.9,21,22.3,21:22.3,52,2024_Big_12_Conference_Cross_Country_Championship,21.371666666666666,6
60,Grace Moroney,SO-2,Utah,05:44.9,21,26.1,21:26.1,NA,2024_Big_12_Conference_Cross_Country_Championship,21.435,6
61,Kiki Connell,SR-4,Iowa State,05:45.2,21,27.0,21:27.0,53,2024_Big_12_Conference_Cross_Country_Championship,21.45,6
62,Aspen Fulbright,JR-3,Iowa State,05:45.3,21,27.4,21:27.4,NA,2024_Big_12_Conference_Cross_Country_Championship,21.456666666666667,6
63,Tori Wingrove,JR-3,Kansas,05:45.8,21,29.3,21:29.3,54,2024_Big_12_Conference_Cross_Country_Championship,21.488333333333333,6
64,Elliot Pribramsky,SO-2,Colorado,05:45.9,21,29.8,21:29.8,55,2024_Big_12_Conference_Cross_Country_Championship,21.496666666666666,6
65,Becca Heitzig,FR-1,Iowa State,05:46.9,21,33.4,21:33.4,NA,2024_Big_12_Conference_Cross_Country_Championship,21.556666666666665,6
66,Sona Kourilova,JR-3,Utah,05:47.9,21,37.1,21:37.1,NA,2024_Big_12_Conference_Cross_Country_Championship,21.618333333333332,6
