PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
1,Regina Mpigachai,JR-3,Northern Colorado,05:28.6,17:01.0,1,
2,Ali Bainbridge,SO-2,Nebraska,05:40.3,17:37.4,2,
3,Brynna McQuillen,SR-4,Nebraska,05:42.5,17:44.3,3,
4,Constance O'Neal,JR-3,Sonoma St.,05:42.8,17:45.1,4,
5,Emilie Meyer,SR-4,Drake,05:44.2,17:49.5,5,
6,Aspen Fulbright,JR-3,Iowa State,05:45.7,17:54.3,6,
7,Anastasia Kirillov,SR-4,Drake,05:46.1,17:55.5,7,
8,Breanna Burak,FR-1,Drake,05:47.6,18:00.1,8,
9,Ashlyn Keeney,JR-3,Iowa State,05:48.1,18:01.6,9,
10,Berlyn Schutz,SO-2,Nebraska,05:48.6,18:03.1,10,
11,Taya Skelton,SR-4,Nebraska,05:49.8,18:07.0,11,
12,Ruby Hughes,FR-1,Iowa State,05:50.1,18:07.9,12,
13,Cami Merickel,SR-4,Nebraska,05:50.2,18:08.2,13,
14,Ella Buhlke,JR-3,Nebraska-Kearney,05:51.8,18:13.2,14,
15,Riley Hiebert,SR-4,St. Mary (Kan.),05:53.4,18:18.1,15,
16,Mya Trober,SO-2,Iowa State,05:54.9,18:22.9,16,
17,Ozia Trujillo,Sophomore,Unattached,05:55.7,18:25.3,,
18,Kamryn Ensley,JR-3,Omaha,05:55.9,18:25.8,17,
19,Makenzie Kordic,FR-1,Sonoma St.,05:56.2,18:26.8,18,
20,N Vanee Anchike,SO-2,Cloud County CC,05:56.7,18:28.3,19,
21,Reece Ewoldt,FR-1,Nebraska-Kearney,05:57.6,18:31.1,20,
22,Reagan Hiebert,SR-4,St. Mary (Kan.),05:57.8,18:31.6,21,
23,Nonhlanhla Mabuza,SO-2,Colby CC,05:59.7,18:37.8,,
24,Brooke Elfert,SO-2,Northern Colorado,06:00.8,18:41.1,22,
25,Keelee Leitzen,FR-1,Iowa State,06:00.9,18:41.4,23,
26,Josie Tyrrell,JR-3,St. Mary (Kan.),06:00.9,18:41.4,24,
27,Camryn Sattler,FR-1,Iowa State,06:00.9,18:41.4,25,
28,Kate Madsen,SR-4,St. Mary (Kan.),06:01.7,18:44.0,26,
29,Summer Olson,SR-4,Northern Colorado,06:01.8,18:44.2,27,
30,Brynn Hirschfeld,SO-2,Nebraska-Kearney,06:02.1,18:45.2,28,
31,Meryeme Mai,FR-1,Garden City CC,06:03.2,18:48.4,29,
32,Abbi Hutchinson,FR-1,Iowa Central CC,06:03.5,18:49.6,30,
33,Reid Harvey-McKean,FR-1,Garden City CC,06:03.9,18:50.8,31,
34,Claire Nowels,SO-2,Northern Colorado,06:04.2,18:51.6,32,
35,Noelle Abels,SO-2,Nebraska-Kearney,06:04.9,18:53.8,33,
36,Madison Nelson,SR-4,Bellevue,06:05.5,18:55.6,,
37,Mercy Angaamchaab,FR-1,Cloud County CC,06:05.9,18:56.9,34,
38,Julia Thigpen,SR-4,Northern Colorado,06:06.3,18:58.1,35,
39,Madisyn Ehrlich,JR-3,Kansas Wesleyan,06:06.7,18:59.4,36,
40,Charis Robinson,SO-2,Nebraska-Kearney,06:06.9,19:00.0,37,
41,Carrigan Eberly,FR-1,Air Force,06:07.8,19:03.0,38,
42,Marie Garret,FR-1,Iowa Central CC,06:07.9,19:03.2,39,
43,Barbara Neiva,SO-2,Iowa Western CC,06:08.6,19:05.4,,
44,Imane Jourji,FR-1,Iowa Central CC,06:09.0,19:06.7,40,
45,Grace Bonsall,SR-4,Nebraska-Kearney,06:09.1,19:06.9,41,
46,Rosemary Arthur,SO-2,Colby CC,06:09.1,19:07.0,,
47,Madeline Lage,FR-1,Creighton,06:09.3,19:07.5,,
48,Scarlet Fetterolf,SO-2,Air Force,06:09.8,19:08.9,42,
49,Chiara Belfico,SR-4,Drake,06:09.8,19:09.0,43,
50,Jacqueline Abanses,SR-4,Nebraska,06:10.2,19:10.4,44,
51,Carlie Gregg,SR-4,St. Mary (Kan.),06:11.5,19:14.4,45,
52,Jasleen Sidhu,FR-1,Air Force,06:12.5,19:17.6,46,
53,Scarlett Riddle,FR-1,Sonoma St.,06:13.6,19:20.8,47,
54,Kierra Jensen,JR-3,Kansas Wesleyan,06:14.1,19:22.3,48,
55,Molly Caruso,FR-1,Omaha,06:14.2,19:22.6,49,
56,Emma Hain,SR-4,Omaha,06:14.4,19:23.3,50,
57,Meredith Richter,FR-1,Omaha,06:14.8,19:24.5,51,
58,Juliette Gavois,FR-1,Iowa Central CC,06:15.6,19:27.2,52,
59,Rachel Fereday,SO-2,Air Force,06:15.9,19:28.0,53,
60,Kaia Richmond,?,Unattached,06:16.1,19:28.7,,
61,Kara Muller,FR-1,St. Mary (Neb.),06:17.6,19:33.4,54,
62,Carrington Hessen,FR-1,Omaha,06:17.9,19:34.3,55,
63,Monse Guerrero-Chapula,JR-3,St. Mary (Kan.),06:18.1,19:34.8,56,
64,Shannen Dorn,JR-3,St. Mary (Kan.),06:19.0,19:37.8,57,
65,Abigail White,JR-3,St. Mary (Kan.),06:19.3,19:38.6,,
66,Jessica Wilson,FR-1,Northern Colorado,06:20.1,19:41.0,58,
67,Zoie Ecord,JR-3,Nebraska,06:20.9,19:43.5,59,
68,Colleen Kelly,FR-1,Air Force,06:21.1,19:44.2,60,
69,Lillian Cutler,SR-4,Missouri Western,06:21.3,19:44.6,61,
70,Ayianna Olivas,SO-2,Iowa Western CC,06:21.4,19:45.1,,
71,Carly Holadia,JR-3,St. Mary (Kan.),06:21.8,19:46.2,,
72,Jillian Vaughn,SR-4,Rockhurst,06:22.0,19:46.9,62,
73,Gracie Shannon,SR-4,Drake,06:22.3,19:47.9,63,
74,Hannah Beintema,JR-3,Concordia (Neb.),06:22.4,19:48.2,64,
75,Camryn Bodine,SO-2,Air Force,06:22.6,19:48.8,65,
76,Sammy Ebell,FR-1,Sonoma St.,06:22.8,19:49.5,66,
77,Laney Parmeley,FR-1,Rockhurst,06:22.8,19:49.5,67,
78,Kirstin Hackney,SO-2,Kansas Wesleyan,06:23.7,19:52.4,68,
79,Charlee Lind,JR-3,Kansas Wesleyan,06:23.9,19:52.8,69,
80,Alayna Behrman,SR-4,Kansas Wesleyan,06:24.2,19:53.7,70,
81,Lexi Liess,JR-3,Nebraska-Kearney,06:24.2,19:53.8,71,
82,Keira Naidoo,FR-1,Rockhurst,06:24.6,19:55.1,72,
83,Emma Bonsall,JR-3,Nebraska-Kearney,06:25.1,19:56.5,,
84,Jessa Cassity,SO-2,St. Mary (Kan.),06:26.0,19:59.3,,
85,Sophie Rodriguez,SR-4,Sonoma St.,06:26.1,19:59.7,73,
86,Lily Jackson,JR-3,Omaha,06:26.4,20:00.6,74,
87,Maud Lambotte,FR-1,Iowa Central CC,06:26.7,20:01.7,75,
88,Danie Parriott,JR-3,Doane,06:26.8,20:01.9,76,
89,Calla Wittland,JR-3,Doane,06:27.2,20:03.0,77,
90,Mason Bina,JR-3,Emporia St.,06:28.2,20:06.2,78,
91,Grace Mullin,FR-1,Air Force,06:28.6,20:07.5,79,
92,Josie Koppes,JR-3,Kansas Wesleyan,06:29.0,20:08.8,80,
93,Carly Henderson,FR-1,St. Mary (Neb.),06:29.2,20:09.4,81,
94,Nontokozo Ncube,FR-1,Cloud County CC,06:29.5,20:10.3,82,
95,Shantell Hafner,SR-4,Northern Colorado,06:29.6,20:10.7,83,
96,Marissa Holm,2028,UNL Running Club,06:29.8,20:11.1,,
97,Gracen Glover,JR-3,St. Mary (Kan.),06:30.0,20:11.8,,
98,Kaitlyn Bloomenrader,FR-1,Wayne State (Neb.),06:30.1,20:12.0,84,
99,Annika Staab,FR-1,Concordia (Neb.),06:30.7,20:14.0,85,
100,Sophia Valentine,SO-2,Creighton,06:31.2,20:15.4,,
101,Talissa Tanquary,FR-1,Nebraska-Kearney,06:31.4,20:16.0,,
102,Natasha Perales,SR-4,Northern Colorado,06:31.4,20:16.3,,
103,Shelby Lingle,SO-2,Kansas Wesleyan,06:32.9,20:20.8,86,
104,Lydia Davis,FR-1,Nebraska-Kearney,06:33.2,20:21.8,,
105,Umahan Sahin,FR-1,Garden City CC,06:33.3,20:22.1,87,
