PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
1,Sadie Sigfstead,JR-3,Villanova,05:20.7,19:55.7,1
2,Florence Caron,JR-3,Penn State,05:22.7,20:03.2,2
3,Rosina Machu,SR-4,Gonzaga,05:23.5,20:06.2,3
4,Phoebe Anderson,SR-4,Columbia,05:24.9,20:11.4,4
5,Kimberley May,SR-4,Providence,05:25.2,20:12.4,5
6,Erin Vringer,SO-2,Utah,05:25.6,20:14.2,6
7,Melissa Riggins,JR-3,Georgetown,05:26.1,20:16.1,7
8,Maeve Stiles,JR-3,Washington,05:26.6,20:17.9,8
9,Carly Wilkes,JR-3,Furman,05:26.8,20:18.4,9
10,Brynn Brown,SR-4,North Carolina,05:28.0,20:23.0,10
11,Nicole Vanasse,JR-3,Villanova,05:28.1,20:23.3,11
12,Julia David-Smith,JR-3,Washington,05:28.5,20:24.8,12
13,Shannon Flockhart,SR-4,Providence,05:28.8,20:25.8,13
14,Lucy Jenks,SR-4,Georgetown,05:29.0,20:26.7,14
15,Fatima Alanis,SR-4,North Carolina,05:29.8,20:29.8,15
16,Maelle Porcher,JR-3,Iowa State,05:29.9,20:30.0,16
17,Bieke Schipperen,SO-2,Florida State,05:29.9,20:30.2,17
18,Mia Barnett,JR-3,Oregon,05:30.1,20:30.7,18
19,Alex Millard,SR-4,Providence,05:30.2,20:31.1,19
20,Jenny Schilling,JR-3,Virginia,05:30.8,20:33.4,20
21,Mckaylie Caesar,SR-4,Utah,05:31.2,20:34.7,21
22,Savannah Roark,SR-4,Syracuse,05:31.8,20:37.0,22
23,Fleur Templier,SO-2,Portland,05:31.9,20:37.4,23
24,Kaylie Armitage,JR-3,Furman,05:31.9,20:37.6,24
25,Katarzyna Nowakowska,SO-2,Utah,05:32.1,20:38.1,25
26,Gillian Bushee,SO-2,Virginia,05:32.3,20:39.1,26
27,Amina Maatoug,SR-4,Washington,05:32.4,20:39.4,27
28,Kate Laurent,JR-3,Oregon State,05:32.5,20:39.7,28
29,Chloe Foerster,JR-3,Washington,05:32.7,20:40.5,29
30,Shea Ruhly,SR-4,Wisconsin,05:32.7,20:40.6,30
31,Lindsay Cunningham,SR-4,Wisconsin,05:32.9,20:41.2,31
32,Charlotte Tomkinson,JR-3,Georgetown,05:33.5,20:43.4,32
33,Morgan Jensen,SR-4,Utah,05:33.9,20:45.1,33
34,India Weir,SR-4,Washington,05:34.5,20:47.2,34
35,Wilma Nielsen,SR-4,Oregon,05:34.7,20:47.9,35
