PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
1,Pamela Kosgei,FR-1,New Mexico,05:05.5,18:59.1,1
2,Hilda Olemomoi,JR-3,Florida,05:06.5,19:02.9,2
3,Caroline Jeptanui,FR-1,Tulane,05:07.2,19:05.4,3
4,Ceili McCabe,SR-4,West Virginia,05:08.6,19:10.8,4
5,Chloe Thomas,SR-4,Connecticut,05:08.9,19:11.8,5
6,Grace Hartman,JR-3,NC State,05:09.8,19:15.2,6
7,Paityn Noe,SO-2,Arkansas,05:11.0,19:19.5,7
8,Hannah Gapes,JR-3,NC State,05:14.0,19:31.0,8
9,Lexy Halladay-Lowry,SR-4,BYU,05:14.7,19:33.4,9
10,Joy Naukot,FR-1,West Virginia,05:15.8,19:37.4,10
11,Ali Weimer,JR-3,Minnesota,05:16.1,19:38.5,11
12,Siona Chisholm,SR-4,Notre Dame,05:16.2,19:38.8,12
13,Sophia Kennedy,SO-2,Stanford,05:16.9,19:41.7,13
14,Carmen Alder,JR-3,BYU,05:18.8,19:48.6,14
15,Emily Covert,SR-4,Notre Dame,05:19.0,19:49.5,15
16,Chloe Foerster,JR-3,Washington,05:19.3,19:50.6,16
17,Mercy Kinyanjui,FR-1,Toledo,05:19.4,19:51.0,17
18,Mia Cochran,JR-3,Arkansas,05:19.6,19:51.8,18
19,Aliandrea Upshaw,SR-4,Northern Arizona,05:20.1,19:53.6,19
20,Jenna Hutchins,SO-2,BYU,05:20.4,19:54.7,20
21,Maelle Porcher,JR-3,Iowa State,05:20.7,19:55.8,21
22,Carly Wilkes,JR-3,Furman,05:20.9,19:56.7,22
23,Zofia Dudek,SR-4,Stanford,05:21.2,19:57.7,23
24,Bieke Schipperen,SO-2,Florida State,05:21.6,19:59.3,24
25,Savannah Roark,SR-4,Syracuse,05:21.7,19:59.5,25
26,Alex Carlson,JR-3,Northern Arizona,05:21.7,19:59.6,26
27,Riley Chamberlain,JR-3,BYU,05:21.9,20:00.1,27
28,India Weir,SR-4,Washington,05:22.0,20:00.6,28
29,Agnes McTighe,JR-3,Florida State,05:22.1,20:01.0,29
30,Maeve Stiles,JR-3,Washington,05:22.5,20:02.5,30
31,Keira Moore,SO-2,Northern Arizona,05:22.6,20:02.9,31
32,Olivia Howell,SR-4,Texas,05:22.9,20:04.0,32
33,Maggi Congdon,SR-4,Northern Arizona,05:23.1,20:04.7,33
34,Jenna Zydanowicz,SR-4,Connecticut,05:23.3,20:05.5,34
35,Nelah Roberts,FR-1,BYU,05:23.4,20:06.0,35
36,Ashley Jones,JR-3,Tennessee,05:23.5,20:06.2,36
37,Natalie Bitetti,SR-4,New Mexico,05:23.7,20:06.8,37
38,Mercy Kirarei,FR-1,New Mexico,05:23.8,20:07.5,38
39,Sivan Auerbach,SR-4,Oklahoma State,05:23.9,20:07.7,39
40,Taylor Rohatinsky,SO-2,BYU,05:24.0,20:08.0,40
