PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
1,Doris Lemngole,SO-2,Alabama,05:11.4,19:21.0,1
2,Pamela Kosgei,FR-1,New Mexico,05:13.2,19:27.8,2
3,Hilda Olemomoi,JR-3,Florida,05:13.4,19:28.7,3
4,Amy Bunnage,SO-2,Stanford,05:14.1,19:31.1,4
5,Grace Hartman,SO-2,NC State,05:16.3,19:39.5,5
6,Ceili McCabe,SR-4,West Virginia,05:16.8,19:41.2,6
7,Paityn Noe,SO-2,Arkansas,05:17.1,19:42.3,7
8,Hannah Gapes,SO-2,NC State,05:17.2,19:42.7,8
9,Chloe Thomas,SR-4,Connecticut,05:17.4,19:43.5,
10,Kimberley May,SR-4,Providence,05:17.8,19:45.1,9
11,Juliet Cherubet,SO-2,Texas Tech,05:18.4,19:47.3,
12,Caroline Jeptanui,FR-1,Tulane,05:18.5,19:47.6,
13,Silan Ayyildiz,SR-4,Oregon,05:18.7,19:48.2,10
14,Lexy Halladay-Lowry,SR-4,BYU,05:18.7,19:48.4,11
15,Sadie Sigfstead,JR-3,Villanova,05:18.9,19:49.0,
16,Rachel Forsyth,FR-1,Michigan State,05:18.9,19:49.1,12
17,Joy Naukot,FR-1,West Virginia,05:19.2,19:50.3,13
18,Margot Appleton,SR-4,Virginia,05:19.4,19:51.0,14
19,Florence Caron,JR-3,Penn State,05:19.5,19:51.2,15
20,Alex Millard,SR-4,Providence,05:19.6,19:51.5,16
21,Brenda Jepchirchir,FR-1,Auburn,05:19.7,19:51.9,
22,Aliandrea Upshaw,SR-4,Northern Arizona,05:20.2,19:53.8,17
23,Chloe Scrimgeour,SR-4,Georgetown,05:20.2,19:53.8,18
24,Shannon Flockhart,SR-4,Providence,05:20.3,19:54.2,19
25,Maddy Elmore,SR-4,Oregon,05:20.6,19:55.4,20
26,Phoebe Anderson,SR-4,Columbia,05:20.8,19:56.0,
27,Taryn Parks,SR-4,North Carolina,05:21.0,19:57.0,21
28,Laura Pellicoro,SR-4,Portland,05:21.3,19:57.9,
29,Brenda Tuwei,SO-2,Alabama,05:21.5,19:58.8,22
30,Judy Chepkoech,FR-1,Arizona State,05:21.6,19:59.0,
31,Riley Chamberlain,JR-3,BYU,05:21.7,19:59.4,23
32,Anika Thompson,SR-4,Oregon,05:22.0,20:00.6,24
33,Sophia Kennedy,SO-2,Stanford,05:22.0,20:00.6,25
34,Sarah Tait,SR-4,West Virginia,05:22.1,20:00.9,26
35,Mercy Kirarei,FR-1,New Mexico,05:22.2,20:01.3,27
36,Elise Stearns,SR-4,Northern Arizona,05:22.3,20:01.8,28
37,Erin Strzelecki,SR-4,Notre Dame,05:22.6,20:02.9,29
38,Brynn Brown,SR-4,North Carolina,05:22.7,20:03.2,30
39,Carmen Alder,JR-3,BYU,05:22.8,20:03.6,31
40,Leah Jeruto,FR-1,Oklahoma,05:23.1,20:04.6,
41,Mia Cochran,JR-3,Arkansas,05:23.2,20:04.9,32
42,Vera Sjoberg,JR-3,Boston University,05:23.2,20:05.0,
43,Taylor Rohatinsky,SO-2,BYU,05:23.6,20:06.5,33
44,Annastasia Peters,SO-2,Utah,05:24.0,20:08.0,34
45,Rosina Machu,SR-4,Gonzaga,05:24.0,20:08.2,35
46,Silvia Jelego,FR-1,Clemson,05:24.1,20:08.5,
47,Zenah Cheptoo,FR-1,Washington St.,05:24.2,20:08.8,
48,Ali Weimer,JR-3,Minnesota,05:24.7,20:10.5,36
49,Lucy Jenks,SR-4,Georgetown,05:24.9,20:11.4,37
50,Brooke Rauber,JR-3,NC State,05:25.2,20:12.4,38
51,Judy Kosgei,SO-2,Clemson,05:25.4,20:13.2,
52,Jenny Schilling,JR-3,Virginia,05:25.4,20:13.4,39
53,Kaiya Robertson,SO-2,Boise State,05:25.8,20:14.8,
54,Melissa Riggins,JR-3,Georgetown,05:26.0,20:15.4,40
55,Blezzin Kimutai,FR-1,Tulane,05:26.1,20:16.0,
56,Laura Mooney,SR-4,Providence,05:26.4,20:16.9,41
57,Bieke Schipperen,SO-2,Florida State,05:26.4,20:16.9,42
58,Riley Stewart,JR-3,Stanford,05:26.7,20:18.1,43
59,Maeve Stiles,JR-3,Washington,05:26.8,20:18.3,44
60,Keira Moore,SO-2,Northern Arizona,05:26.8,20:18.4,45
61,Rose Coats,SO-2,Maryland,05:26.8,20:18.5,
62,Mercy Kinyanjui,FR-1,Toledo,05:27.0,20:19.4,46
63,Tia Wilson,JR-3,Florida,05:27.2,20:19.9,47
64,Ashley Jones,JR-3,Tennessee,05:27.2,20:20.1,48
65,Carlee Hansen,SR-4,BYU,05:27.6,20:21.6,49
66,Zofia Dudek,SR-4,Stanford,05:27.7,20:21.7,50
67,Gladys Chepngetich,SO-2,Clemson,05:27.7,20:21.8,
68,Erin Vringer,SO-2,Utah,05:27.8,20:22.3,51
69,Emily Bryce,JR-3,West Virginia,05:27.9,20:22.7,52
70,Brooke Morabito,SR-4,Central Connecticut,05:28.1,20:23.5,
71,Maggi Congdon,SR-4,Northern Arizona,05:28.2,20:23.8,53
72,Victoria Lagat,FR-1,Oklahoma State,05:28.5,20:24.9,54
73,Julia David-Smith,JR-3,Washington,05:28.6,20:25.3,55
74,Klara Dess,SR-4,New Mexico,05:28.7,20:25.5,56
75,Mackenzie Barnett,SR-4,Lipscomb,05:28.8,20:25.9,57
76,Ali Bainbridge,SO-2,Nebraska,05:28.8,20:26.0,
77,Adelyn Fairley,SR-4,Liberty,05:28.8,20:26.0,
78,Sydney Thorvaldson,JR-3,Arkansas,05:28.9,20:26.5,58
79,Kaitlyn Hynes,JR-3,Michigan State,05:28.9,20:26.5,59
80,Aniya Mosley,JR-3,Ohio State,05:29.0,20:26.6,
81,Siona Chisholm,SR-4,Notre Dame,05:29.0,20:26.9,60
82,Mary Bonner Dalton,FR-1,Notre Dame,05:29.1,20:27.1,61
83,Nelah Roberts,FR-1,BYU,05:29.2,20:27.4,62
84,Alex Carlson,JR-3,Northern Arizona,05:29.3,20:27.7,63
85,Regina Mpigachai,JR-3,Northern Colorado,05:29.4,20:28.2,
86,Addison Dorenkamp,FR-1,Alabama,05:29.4,20:28.3,64
87,Pheline Cheruto,FR-1,Alabama,05:29.5,20:28.4,65
88,Taylor Lovell,JR-3,BYU,05:29.5,20:28.6,66
89,Madison Trippett,SR-4,West Virginia,05:29.6,20:29.0,67
90,Hayley Kitching,SO-2,Penn State,05:29.7,20:29.1,68
91,Natalie Bitetti,SR-4,New Mexico,05:29.7,20:29.3,69
92,Fatima Alanis,SR-4,North Carolina,05:29.9,20:30.0,70
