PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
1,Leah Jeruto,FR-1,Oklahoma,05:17.3,19:42.9,1
2,Ali Weimer,JR-3,Minnesota,05:18.9,19:48.9,2
3,Maelle Porcher,JR-3,Iowa State,05:19.9,19:52.8,3
4,Josphine Mwaura,SO-2,Oklahoma State,05:20.1,19:53.7,4
5,Ali Bainbridge,SO-2,Nebraska,05:20.2,19:53.9,5
6,Halle Hill,SR-4,Illinois,05:20.7,19:55.8,6
7,Victoria Lagat,FR-1,Oklahoma State,05:22.4,20:02.1,7
8,Ava Earl,JR-3,Northwestern,05:22.9,20:03.8,8
9,Chloe Wellings,SR-4,Northwestern,05:23.0,20:04.4,9
10,Sivan Auerbach,SR-4,Oklahoma State,05:23.2,20:04.9,10
11,Emma Atkinson,SR-4,Minnesota,05:25.6,20:13.9,11
12,Reagan Baesler,JR-3,North Dakota State,05:25.8,20:14.9,12
13,Colleen Stegmann,SO-2,Oklahoma State,05:26.1,20:16.0,13
14,Avril Andre,SO-2,Illinois,05:26.3,20:16.5,14
15,Isabelle Schmitz,FR-1,Minnesota,05:26.6,20:17.7,15
16,Izzy Roemer,SO-2,Minnesota,05:26.7,20:18.1,16
17,Nova Ojutkangas,SO-2,SE Missouri,05:26.7,20:18.2,17
18,Riley Beach,JR-3,Iowa State,05:27.4,20:20.8,18
19,Brynna McQuillen,SR-4,Nebraska,05:27.5,20:21.1,19
20,Tyla Lumley,JR-3,Drake,05:27.8,20:22.2,20
21,Bella Heikes,SR-4,Iowa State,05:27.9,20:22.5,21
22,Chloe Hershenow,SR-4,Tulsa,05:28.2,20:23.6,22
23,Grace Kuhn,SR-4,Loyola (Ill.),05:29.2,20:27.6,23
24,Kaitlyn Sheppard,SO-2,Bradley,05:29.5,20:28.7,24
25,Ava Criniti,FR-1,Northwestern,05:30.0,20:30.5,25
26,Dorcas Kiptanui,FR-1,Kansas,05:30.2,20:31.0,26
27,Lilly Lavier,JR-3,Oklahoma State,05:30.3,20:31.6,27
28,Rahel Broemmel,SO-2,Missouri,05:31.3,20:35.4,28
29,Abigail Hancock,SR-4,Bradley,05:31.4,20:35.6,29
30,Katherine Hessler,SR-4,Northwestern,05:31.5,20:36.0,30
31,Holly Smith,JR-3,Northwestern,05:31.7,20:36.9,31
32,Erin Reidy,SR-4,Minnesota,05:31.8,20:37.2,32
33,Ailey Mitchell,JR-3,Tulsa,05:32.3,20:39.1,33
34,Anna Perry,SO-2,Bradley,05:32.8,20:40.8,34
35,Brianne Brewster,SR-4,Minnesota,05:33.5,20:43.3,35
36,Berlyn Schutz,SO-2,Nebraska,05:33.6,20:43.9,36
37,Sam Poglitsch,SR-4,Illinois,05:33.9,20:45.1,37
38,Naja Weiler,FR-1,North Dakota,05:34.2,20:46.0,38
39,Megan Johnson,JR-3,Oklahoma,05:34.3,20:46.4,39
40,Madison Brouwer,SO-2,South Dakota,05:34.4,20:46.8,40
41,Abby Jepchirchir,FR-1,Oklahoma,05:34.5,20:47.3,41
42,Ruby Hughes,FR-1,Iowa State,05:34.6,20:47.6,42
43,Eliana Malnourie,JR-3,North Dakota,05:34.9,20:48.6,43
44,Lauren Ping,FR-1,Oklahoma State,05:35.0,20:49.1,44
45,Nicole Louw,SR-4,Missouri,05:35.1,20:49.4,45
46,Gabi Barrera,SR-4,Oklahoma,05:35.3,20:50.1,46
47,Jackie Holman,SO-2,Northwestern,05:35.4,20:50.5,47
48,Courtney Stadter,FR-1,South Dakota St.,05:35.5,20:50.8,48
49,Emma Watcke,SR-4,Loyola (Ill.),05:35.9,20:52.3,49
50,Grace Meyer,JR-3,Kansas State,05:36.7,20:55.4,50
51,Miriam Sandeen,SR-4,Iowa,05:36.7,20:55.5,51
