Match,Start Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Final,Blue Final
Qualification 1  ,Thu 4/17 - 8:25 AM,6324,4907,9496,6647,1241,3045,251,202
Qualification 2  ,Thu 4/17 - 8:33 AM,5985,51,10224,2080,7421,2470,145,102
Qualification 3  ,Thu 4/17 - 8:41 AM,3339,2706,9450,3656,4728,2075,223,195
Qualification 4  ,Thu 4/17 - 8:49 AM,2485,801,86,3473,2783,3882,82,135
Qualification 5  ,Thu 4/17 - 9:06 AM,2767,8177,540,6621,6652,5181,138,178
Qualification 6  ,Thu 4/17 - 9:14 AM,7902,781,6873,5013,9134,5987,132,149
Qualification 7  ,Thu 4/17 - 9:24 AM,3794,3970,2200,230,2539,1700,191,168
Qualification 8  ,Thu 4/17 - 9:34 AM,1153,4145,1768,8595,973,8570,225,205
Qualification 9  ,Thu 4/17 - 9:42 AM,1902,7632,2877,2383,467,3928,227,167
Qualification 10  ,Thu 4/17 - 9:51 AM,1506,2491,3814,5193,9245,9635,148,113
Qualification 11  ,Thu 4/17 - 9:58 AM,888,5736,5817,3130,195,2960,181,208
Qualification 12  ,Thu 4/17 - 10:07 AM,10479,70,9545,3197,4009,33,157,160
Qualification 13  ,Thu 4/17 - 10:19 AM,2522,1038,6652,86,2706,10157,103,117
Qualification 14  ,Thu 4/17 - 10:27 AM,4728,2767,3882,5987,2080,6647,236,154
Qualification 15  ,Thu 4/17 - 10:34 AM,4907,2783,51,3339,7902,230,232,245
Qualification 16  ,Thu 4/17 - 10:42 AM,6873,10224,540,1768,2075,1241,131,252
Qualification 17  ,Thu 4/17 - 10:50 AM,2877,6324,973,3473,5181,9450,192,194
Qualification 18  ,Thu 4/17 - 10:58 AM,3814,7421,1902,3656,8570,8177,150,174
Qualification 19  ,Thu 4/17 - 11:08 AM,8595,5817,467,9496,5193,781,91,196
Qualification 20  ,Thu 4/17 - 11:15 AM,801,4009,2383,3197,4145,2539,173,225
Qualification 21  ,Thu 4/17 - 11:23 AM,5013,2491,3045,33,195,3928,204,223
Qualification 22  ,Thu 4/17 - 11:30 AM,3130,1506,1038,2200,10479,9134,187,172
Qualification 23  ,Thu 4/17 - 11:38 AM,10157,6621,3794,5985,5736,3970,113,148
Qualification 24  ,Thu 4/17 - 11:46 AM,2485,9635,1700,2960,70,7632,132,193
Qualification 25  ,Thu 4/17 - 11:53 AM,2470,9545,888,1153,9245,2522,111,203
Qualification 26  ,Thu 4/17 - 12:01 PM,7421,2783,2767,9450,3814,6873,160,161
Qualification 27  ,Thu 4/17 - 12:08 PM,3656,4907,1768,781,3882,2877,233,185
Qualification 28  ,Thu 4/17 - 12:23 PM,2539,5193,7902,4728,86,6324,161,220
Qualification 29  ,Thu 4/17 - 1:32 PM,6647,8570,3928,467,540,4009,150,178
Qualification 30  ,Thu 4/17 - 1:41 PM,230,1038,9134,195,801,8595,190,176
Qualification 31  ,Thu 4/17 - 1:49 PM,3197,10157,1241,973,51,6621,195,198
Qualification 32  ,Thu 4/17 - 2:00 PM,9496,3130,2075,70,3970,5013,235,193
Qualification 33  ,Thu 4/17 - 2:08 PM,2080,2383,1700,9245,3045,9545,107,123
Qualification 34  ,Thu 4/17 - 2:16 PM,5181,7632,888,2470,5987,2491,154,132
Qualification 35  ,Thu 4/17 - 2:23 PM,3473,2200,2960,2706,1902,10479,240,193
Qualification 36  ,Thu 4/17 - 2:30 PM,5817,3339,9635,2522,33,5985,190,175
Qualification 37  ,Thu 4/17 - 2:38 PM,5736,1506,3794,6652,2485,1153,144,120
Qualification 38  ,Thu 4/17 - 2:45 PM,8177,10224,467,6324,9134,4145,153,188
Qualification 39  ,Thu 4/17 - 2:54 PM,195,5193,8570,3882,9450,10157,117,148
Qualification 40  ,Thu 4/17 - 3:03 PM,7902,70,3814,1038,2877,6647,171,174
Qualification 41  ,Thu 4/17 - 3:12 PM,2075,4009,4907,1700,973,2767,242,237
Qualification 42  ,Thu 4/17 - 3:19 PM,51,3045,230,3130,1768,4728,212,225
Qualification 43  ,Thu 4/17 - 3:27 PM,2960,1902,3928,9545,1241,8595,167,130
Qualification 44  ,Thu 4/17 - 3:35 PM,540,3656,5987,9635,801,3970,216,206
Qualification 45  ,Thu 4/17 - 3:43 PM,9245,9496,5181,5736,6873,2539,245,177
Qualification 46  ,Thu 4/17 - 3:50 PM,888,2706,4145,2783,781,5985,164,192
Qualification 47  ,Thu 4/17 - 4:01 PM,1506,5013,3197,86,5817,10224,197,145
Qualification 48  ,Thu 4/17 - 4:08 PM,6652,2470,3339,10479,2383,7421,137,125
Qualification 49  ,Thu 4/17 - 4:17 PM,33,2080,1153,7632,3473,6621,179,191
Qualification 50  ,Thu 4/17 - 4:25 PM,3794,2485,2522,2491,2200,8177,144,203
Qualification 51  ,Thu 4/17 - 4:33 PM,973,3928,3882,230,3814,3130,222,171
Qualification 52  ,Thu 4/17 - 4:40 PM,2877,5987,195,51,6647,9545,191,138
Qualification 53  ,Thu 4/17 - 4:50 PM,801,1768,5181,9635,467,1241,232,194
Qualification 54  ,Thu 4/17 - 4:58 PM,9134,4728,2706,8570,1700,5736,167,149
Qualification 55  ,Thu 4/17 - 5:06 PM,9450,888,5985,1506,9496,4009,152,165
Qualification 56  ,Thu 4/17 - 5:15 PM,1902,6652,10157,5817,7902,2783,104,179
Qualification 57  ,Thu 4/17 - 5:22 PM,7632,3045,5193,7421,3970,4145,211,149
Qualification 58  ,Thu 4/17 - 5:32 PM,2539,3473,9245,5013,2075,8177,196,163
Qualification 59  ,Thu 4/17 - 5:39 PM,781,2522,10479,10224,2485,2767,190,205
Qualification 60  ,Thu 4/17 - 5:49 PM,2491,8595,70,4907,86,2080,172,149
Qualification 61  ,Thu 4/17 - 5:56 PM,1038,6324,3197,3339,1153,540,188,159
Qualification 62  ,Thu 4/17 - 6:04 PM,6873,33,3656,3794,2960,2383,222,147
Qualification 63  ,Fri 4/18 - 7:59 AM,2200,6647,467,6621,2470,5736,231,211
Qualification 64  ,Fri 4/18 - 8:06 AM,10157,973,195,9496,1902,4728,165,191
Qualification 65  ,Fri 4/18 - 8:14 AM,4009,7632,230,1241,5817,2706,191,186
Qualification 66  ,Fri 4/18 - 8:22 AM,9545,4145,2783,3130,9635,5013,173,142
Qualification 67  ,Fri 4/18 - 8:30 AM,5985,8177,5193,3928,10479,801,135,157
Qualification 68  ,Fri 4/18 - 8:37 AM,781,1700,2491,9450,51,6652,165,153
Qualification 69  ,Fri 4/18 - 8:47 AM,1506,9134,7421,540,4907,3473,185,167
Qualification 70  ,Fri 4/18 - 8:57 AM,3814,2080,6324,3794,1768,888,152,156
Qualification 71  ,Fri 4/18 - 9:10 AM,6873,1153,2470,70,2539,3656,140,195
Qualification 72  ,Fri 4/18 - 9:17 AM,6621,8570,5987,86,2383,1038,233,171
Qualification 73  ,Fri 4/18 - 9:25 AM,2485,2877,3970,33,2767,9245,224,231
Qualification 74  ,Fri 4/18 - 9:34 AM,2075,2522,7902,3197,2960,5181,219,174
Qualification 75  ,Fri 4/18 - 9:42 AM,3045,3882,10224,2200,3339,8595,176,219
Qualification 76  ,Fri 4/18 - 9:52 AM,1241,230,10479,467,9450,5013,203,214
Qualification 77  ,Fri 4/18 - 10:01 AM,8177,7632,51,5736,9496,9545,186,169
Qualification 78  ,Fri 4/18 - 10:08 AM,801,973,3130,2706,781,2080,225,153
Qualification 79  ,Fri 4/18 - 10:17 AM,10157,6873,9635,3928,888,4907,78,213
Qualification 80  ,Fri 4/18 - 10:25 AM,195,6621,1768,2783,1506,70,214,176
Qualification 81  ,Fri 4/18 - 10:33 AM,4728,3794,2470,4145,540,2877,152,225
Qualification 82  ,Fri 4/18 - 10:41 AM,2491,2539,6647,3473,1038,5817,243,159
Qualification 83  ,Fri 4/18 - 10:49 AM,2960,3882,2522,4009,3045,9134,214,180
Qualification 84  ,Fri 4/18 - 10:56 AM,6324,5987,7421,1700,33,1902,167,179
Qualification 85  ,Fri 4/18 - 11:06 AM,2485,5181,3339,8570,3970,3814,210,186
Qualification 86  ,Fri 4/18 - 11:14 AM,6652,3197,3656,5985,9245,8595,148,148
Qualification 87  ,Fri 4/18 - 11:22 AM,1153,5193,86,2075,2767,2200,210,239
Qualification 88  ,Fri 4/18 - 11:30 AM,10224,9450,5736,2383,7902,4907,188,207
Qualification 89  ,Fri 4/18 - 11:38 AM,2877,9635,2080,8177,10157,230,150,169
Qualification 90  ,Fri 4/18 - 11:45 AM,5817,51,10479,70,540,801,187,152
Qualification 91  ,Fri 4/18 - 1:20 PM,9545,2491,2706,3882,6873,6621,169,174
Qualification 92  ,Fri 4/18 - 1:28 PM,3045,467,973,2539,5987,1506,253,243
Qualification 93  ,Fri 4/18 - 1:35 PM,8570,2522,6324,7632,5013,2783,216,191
Qualification 94  ,Fri 4/18 - 1:43 PM,4728,3928,9245,1038,7421,781,217,169
Qualification 95  ,Fri 4/18 - 1:52 PM,5181,5985,6647,9134,1153,1902,163,204
Qualification 96  ,Fri 4/18 - 2:01 PM,3970,8595,4009,2470,7902,2485,191,80
Qualification 97  ,Fri 4/18 - 2:11 PM,10224,3197,3794,5193,3130,3473,126,152
Qualification 98  ,Fri 4/18 - 2:23 PM,33,1241,86,1700,3656,888,149,163
