Match,Start Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red Final,Blue Final
Qualification 1  ,Fri 3/28 - 9:02 AM,10476,6420,1706,4260,9579,4859,129,90
Qualification 2  ,Fri 3/28 - 9:11 AM,171,648,525,1785,8766,8821,92,80
Qualification 3  ,Fri 3/28 - 9:20 AM,4021,9570,5914,9551,8770,3313,76,113
Qualification 4  ,Fri 3/28 - 9:28 AM,9445,1625,9061,5275,6455,7541,88,85
Qualification 5  ,Fri 3/28 - 9:36 AM,8824,7531,5442,9092,8024,9576,98,125
Qualification 6  ,Fri 3/28 - 9:44 AM,3275,7848,5576,10439,4646,2839,104,147
Qualification 7  ,Fri 3/28 - 9:55 AM,967,6419,4959,5041,167,3928,109,169
Qualification 8  ,Fri 3/28 - 10:05 AM,4539,6391,4624,5837,9543,3723,104,62
Qualification 9  ,Fri 3/28 - 10:20 AM,3134,9508,10476,9082,4021,1625,119,134
Qualification 10  ,Fri 3/28 - 10:29 AM,9551,7531,6455,8770,1706,5275,39,118
Qualification 11  ,Fri 3/28 - 10:36 AM,4859,8821,5576,9061,1785,8024,106,95
Qualification 12  ,Fri 3/28 - 10:44 AM,4646,8766,967,2839,5442,4260,148,90
Qualification 13  ,Fri 3/28 - 10:53 AM,9445,171,9579,4539,5837,8824,74,71
Qualification 14  ,Fri 3/28 - 11:01 AM,167,9092,9508,7848,3723,5914,136,94
Qualification 15  ,Fri 3/28 - 11:10 AM,6420,3928,4624,3134,525,9570,152,141
Qualification 16  ,Fri 3/28 - 11:25 AM,9082,5041,7541,3275,3313,648,106,105
Qualification 17  ,Fri 3/28 - 11:34 AM,4959,10439,9576,6391,6419,9543,102,90
Qualification 18  ,Fri 3/28 - 11:44 AM,1785,10476,5837,9445,6455,4646,89,79
Qualification 19  ,Fri 3/28 - 11:53 AM,1625,5275,8766,1706,8024,3723,93,134
Qualification 20  ,Fri 3/28 - 12:01 PM,171,5442,3928,5576,8770,5914,129,63
Qualification 21  ,Fri 3/28 - 12:10 PM,648,9508,9551,4539,3134,967,91,133
Qualification 22  ,Fri 3/28 - 1:07 PM,4959,525,6391,3275,4260,9576,156,101
Qualification 23  ,Fri 3/28 - 1:16 PM,4021,5041,2839,8824,9061,9579,114,69
Qualification 24  ,Fri 3/28 - 1:24 PM,7541,3313,8821,6419,7848,4859,123,120
Qualification 25  ,Fri 3/28 - 1:33 PM,6420,9082,167,7531,4624,9092,154,153
Qualification 26  ,Fri 3/28 - 1:41 PM,9543,9570,3928,10439,10476,5275,101,45
Qualification 27  ,Fri 3/28 - 1:54 PM,5914,3275,4539,1706,5576,6455,83,118
Qualification 28  ,Fri 3/28 - 2:03 PM,3723,3134,5041,9576,2839,171,80,137
Qualification 29  ,Fri 3/28 - 2:10 PM,525,5837,9445,3313,8024,4021,123,100
Qualification 30  ,Fri 3/28 - 2:19 PM,4260,6419,4624,9092,9551,9061,97,123
Qualification 31  ,Fri 3/28 - 2:27 PM,648,967,7848,7531,6391,9579,124,81
Qualification 32  ,Fri 3/28 - 2:35 PM,9508,7541,1785,8824,10439,6420,121,82
Qualification 33  ,Fri 3/28 - 2:45 PM,8821,4646,8770,8766,167,4959,92,56
Qualification 34  ,Fri 3/28 - 2:54 PM,5442,9543,9082,4859,1625,9570,102,90
Qualification 35  ,Fri 3/28 - 3:01 PM,5837,9576,3313,3928,9061,10476,144,94
Qualification 36  ,Fri 3/28 - 3:09 PM,9579,967,3275,5275,171,6419,90,103
Qualification 37  ,Fri 3/28 - 3:17 PM,4260,5914,7541,7531,2839,3134,67,89
Qualification 38  ,Fri 3/28 - 3:25 PM,9508,6420,8770,8024,9445,7848,105,109
Qualification 39  ,Fri 3/28 - 3:35 PM,525,3723,167,9082,9551,4859,104,79
Qualification 40  ,Fri 3/28 - 3:44 PM,9570,4646,6391,1625,5041,8824,129,82
Qualification 41  ,Fri 3/28 - 3:52 PM,6455,4624,10439,5442,8821,648,83,114
Qualification 42  ,Fri 3/28 - 3:59 PM,4959,4021,9092,1706,1785,4539,136,182
Qualification 43  ,Fri 3/28 - 4:09 PM,5576,9543,7531,8766,9579,9508,60,56
Qualification 44  ,Fri 3/28 - 4:17 PM,8024,5914,525,6419,9082,3723,102,82
Qualification 45  ,Fri 3/28 - 4:24 PM,9576,8824,967,6420,3275,1625,111,129
Qualification 46  ,Fri 3/28 - 4:32 PM,5041,4260,10439,4624,9445,8770,65,106
Qualification 47  ,Fri 3/28 - 4:40 PM,6391,9092,1706,10476,8821,2839,193,77
Qualification 48  ,Fri 3/28 - 4:52 PM,167,5442,1785,5275,3313,3134,154,121
Qualification 49  ,Fri 3/28 - 5:04 PM,4646,9061,7848,648,4539,9570,156,79
Qualification 50  ,Fri 3/28 - 5:12 PM,3928,4859,8766,4021,171,6455,98,75
Qualification 51  ,Fri 3/28 - 5:21 PM,9551,5576,5837,7541,4959,9543,88,107
Qualification 52  ,Fri 3/28 - 5:29 PM,8821,8824,9082,967,9445,4260,71,57
Qualification 53  ,Fri 3/28 - 5:38 PM,8770,1785,3275,4624,9579,10476,54,103
Qualification 54  ,Fri 3/28 - 5:45 PM,2839,4539,1625,3313,7531,525,166,198
Qualification 55  ,Sat 3/29 - 8:48 AM,9061,8766,171,10439,167,6391,45,130
Qualification 56  ,Sat 3/29 - 8:58 AM,5914,9551,4959,4859,648,6420,101,107
Qualification 57  ,Sat 3/29 - 9:08 AM,3723,3928,4021,4646,7541,5442,136,195
Qualification 58  ,Sat 3/29 - 9:18 AM,6455,3134,8024,9543,9092,5041,69,122
Qualification 59  ,Sat 3/29 - 9:27 AM,9570,9576,6419,9508,1706,5837,122,148
Qualification 60  ,Sat 3/29 - 9:35 AM,7848,5275,8824,5576,4624,9082,82,108
Qualification 61  ,Sat 3/29 - 9:42 AM,9061,5914,7531,10476,4959,3275,76,78
Qualification 62  ,Sat 3/29 - 9:51 AM,6391,2839,9551,9445,3928,1785,128,119
Qualification 63  ,Sat 3/29 - 9:58 AM,3313,6420,9543,171,3723,8821,122,86
Qualification 64  ,Sat 3/29 - 10:06 AM,9570,6455,4260,167,7541,8024,44,135
Qualification 65  ,Sat 3/29 - 10:19 AM,5041,9576,5275,7848,4539,8766,121,98
Qualification 66,Sat 3/29 - 10:23 AM,1625,5576,648,8770,4021,6419,142,77
Qualification 67,Sat 3/29 - 10:31 AM,9092,4859,3134,5837,967,10439,87,89
Qualification 68,Sat 3/29 - 10:39 AM,9579,1706,5442,525,9508,4646,189,115
Qualification 69,Sat 3/29 - 10:47 AM,2839,9082,3313,6455,4959,6420,170,51
Qualification 70,Sat 3/29 - 10:55 AM,8024,10476,171,7541,7848,9551,71,167
Qualification 71,Sat 3/29 - 11:03 AM,3723,4260,7531,1785,9570,5576,62,65
Qualification 72,Sat 3/29 - 11:11 AM,8766,648,9445,3928,3275,9092,46,109
Qualification 73,Sat 3/29 - 11:19 AM,9579,10439,4539,5914,1625,167,72,172
Qualification 74,Sat 3/29 - 11:27 AM,5442,5275,4021,8821,5837,5041,82,108
Qualification 75,Sat 3/29 - 11:35 AM,4624,4859,4646,9576,6391,9508,145,102
Qualification 76,Sat 3/29 - 11:43 AM,9543,8770,9061,967,525,1706,76,209
Qualification 77,Sat 3/29 - 11:51 AM,6419,10476,8766,3134,8824,9445,57,43
