Match,Team1,Team1,Team2,Team2,Score1,Score2
1,Dan,Mike,Stephen,Andy,11,21
1,Dan,Mike,Stephen,Andy,21,23
1,Dan,Mike,Stephen,Andy,13,21
2,Perry,Dave,Jarad,German,19,21
2,Perry,Dave,Jarad,German,21,10
2,Perry,Dave,Jarad,German,21,9
3,Dan,Stephen,Perry,German,21,11
3,Dan,Stephen,Perry,German,21,14
3,Dan,Stephen,Perry,German,21,10
4,Dave,Jarad,Andy,Mike,21,16
4,Dave,Jarad,Andy,Mike,21,18
4,Dave,Jarad,Andy,Mike,19,21
5,Dan,Perry,Dave,Mike,21,11
5,Dan,Perry,Dave,Mike,21,17
5,Dan,Perry,Dave,Mike,21,9
6,Jarad,Andy,German,Stephen,21,18
6,Jarad,Andy,German,Stephen,15,21
6,Jarad,Andy,German,Stephen,15,21
7,Andy,German,Mike,Perry,22,20
7,Andy,German,Mike,Perry,15,21
7,Andy,German,Mike,Perry,16,21
8,Dan,Dave,Jarad,Stephen,21,17
8,Dan,Dave,Jarad,Stephen,11,21
8,Dan,Dave,Jarad,Stephen,21,19
9,Dan,Jarad,Andy,Perry,21,18
9,Dan,Jarad,Andy,Perry,18,21
9,Dan,Jarad,Andy,Perry,21,11
10,German,Mike,Stephen,Dave,17,21
10,German,Mike,Stephen,Dave,17,21
10,German,Mike,Stephen,Dave,13,21
11,Mike,Stephen,Perry,Jarad,21,17
11,Mike,Stephen,Perry,Jarad,21,18
11,Mike,Stephen,Perry,Jarad,13,21
12,Dan,Andy,German,Dave,21,14
12,Dan,Andy,German,Dave,21,19
12,Dan,Andy,German,Dave,21,15
13,Dan,German,Mike,Jarad,21,12
13,Dan,German,Mike,Jarad,21,14
13,Dan,German,Mike,Jarad,21,14
14,Stephen,Perry,Dave,Andy,21,15
14,Stephen,Perry,Dave,Andy,21,15
14,Stephen,Perry,Dave,Andy,21,17
